# list of applications/protocols
# the appid should appeared increment 
#appid	subid	groupid	label				sublabel			description
91	0	13	http_rtsp			http_rtsp			rtsp tunneled within http
92	0	13	ssh_tuneling			ssh_tuneling			ssh tunneling
#
#
93	0	14	code_red			code_red			code red
94	0	14	nimda				nimda				nimda worm
#
#
95	0	7	echo				echo				echo
96	0	7	daytime			daytime			day/time
97	0	7	bootp				bootp				dhcp/bootp ip address assignment
98	0	11	traceroute			traceroute			traceroute
#
#
#
99	0	3	file_transfer			exe				executable - microsoft pe file format
99	1	3	file_transfer			flash				flash - macromedia flash
99	2	3	file_transfer			gif				gif - popular image format
99	3	3	file_transfer			html				(x)html - (extensible) hypertext markup language
99	4	3	file_transfer			jpeg				jpeg - joint picture expert group image format
99	5	3	file_transfer			mp3				mp3 - moving picture experts group audio layer iii
99	6	3	file_transfer			ogg				ogg - ogg vorbis music format (not any ogg file just vorbis)
99	7	3	file_transfer			pdf			pdf - portable document format - postscript-like format by adobe
99	8	3	file_transfer			perl				perl - a scripting language by larry wall
99	9	3	file_transfer			png				png - portable network graphics a popular image format
99	10	3	file_transfer			ps				postscript - printing language
99	11	3	file_transfer			rar				rar - the rar archive format
99	12	3	file_transfer			rpm				rpm - redhat package management packages
99	13	3	file_transfer			rtf				rtf - rich text format - an open document format
99	14	3	file_transfer			tar			tar - tape archive. standard unix file archiver not just for tapes
99	15	3	file_transfer			zip				zip - (pk|win)zip archive format
#
#
